id,text_length,title_length,quote_symbol_rate,strong_emotion_symbol_rate,source_from_entertainment,title_contains_person
10,937,19,0.49629629629629635,0.2571428571428571,0,0.2
11,235,17,0.0,0.08695652173913043,0,0.2
16,904,30,0.14596949891067537,0.2647058823529412,0,0.2
17,2204,62,0.0,0.010309278350515464,0,0.2
18,378,33,0.0,0.5,0,0.0
20,1432,26,0.24638823220383504,0.02127659574468085,0,0.0
22,1395,19,0.20174646190906353,0.008130081300813009,0,0.0
23,1515,29,0.10426392779333957,0.058823529411764705,0,0.4
28,1303,10,0.023410202655485674,0.03773584905660377,0,0.0
31,1199,13,0.04034929238181271,0.08943089430894309,0,0.0
33,1519,24,0.14846470402025957,0.017094017094017096,0,0.0
34,3110,41,0.10374086461042983,0.10367892976588629,0,0.0
46,126,13,0.0,0.0,0,0.0
59,2526,18,0.18348982785602505,0.028169014084507043,0,0.0
66,134,20,0.0,0.14285714285714285,1,0.2
67,5412,24,0.18341384863123994,0.014492753623188406,0,0.0
69,5667,12,0.2003945526282296,0.06872852233676977,0,0.0
75,926,28,0.0,0.047619047619047616,0,0.2
80,3666,26,0.11887336438234643,0.05089820359281437,0,0.0
81,2817,12,0.0,0.0,0,0.0
82,3030,30,0.12366186784791436,0.07973421926910298,0,0.0
88,361,24,0.09544159544159544,0.34615384615384615,0,0.0
92,4,19,,,0,0.0
94,852,29,0.17724867724867724,0.047619047619047616,0,0.2
95,12248,17,0.011078042328042327,0.03236607142857143,0,0.0
96,1249,23,0.0,0.03260869565217391,0,0.0
97,5258,28,0.18203918203918207,0.009652509652509652,0,0.0
115,740,22,0.1731266149870801,0.06976744186046512,0,0.0
118,2228,32,0.010426392779333955,0.18907563025210083,0,0.0
119,4294,17,0.12118863049095607,0.09534883720930233,0,0.4
127,199,24,0.0,0.36363636363636365,0,0.2
129,2385,35,0.01112771964789902,0.14798206278026907,0,0.0
143,752,38,0.0,0.15789473684210525,1,0.0
145,769,29,0.199659429544487,0.011494252873563218,0,0.2
147,2498,37,0.0647342995169082,0.043478260869565216,0,0.0
152,143,34,0.0,0.14285714285714285,0,0.8
153,23626,38,0.060400026960536514,0.17925386715195632,0,0.6
155,1039,20,0.23447069116360456,0.03937007874015748,0,0.0
164,898,46,0.07298474945533769,0.13725490196078433,0,0.2
165,1046,37,0.16406489133761862,0.19008264462809918,0,0.2
173,698,27,0.0,0.04,0,0.2
174,5544,28,0.013993316624895571,0.08834586466165413,0,0.2
175,850,36,0.0,0.2465753424657534,0,0.0
178,1434,17,0.0,0.03816793893129771,0,0.4
182,14,30,,,0,0.2
184,2205,26,0.07227615965480043,0.019417475728155338,0,0.0
187,2074,11,0.02034001214329083,0.0,0,0.0
193,1587,18,0.014770723104056437,0.0,0,0.2
212,920,22,0.0,0.0,0,0.0
214,136,27,0.0,0.0,0,0.4
218,132,20,0.0,0.16666666666666666,0,0.0
220,1297,36,0.19940476190476192,0.044642857142857144,0,0.4
226,3501,8,0.09440418679549115,0.021739130434782608,0,0.2
227,677,25,0.0,0.03636363636363636,0,0.2
233,386,21,0.0775462962962963,0.0625,0,0.2
235,6127,34,0.08019150209455415,0.07540394973070018,0,0.2
241,849,28,0.03446502057613168,0.0,0,0.0
259,772,22,0.0,0.04938271604938271,0,0.0
262,2464,20,0.036899352884483,0.08550185873605948,0,0.2
265,2264,10,0.08897742363877822,0.043824701195219126,0,0.0
268,750,29,0.0,0.21428571428571427,0,0.0
269,1778,27,0.3044762553965008,0.10429447852760736,0,0.2
272,4228,32,0.2162082874954162,0.08118811881188119,0,0.0
273,1996,36,0.12007168458781362,0.021505376344086023,0,0.2
275,166,17,0.13786008230452673,0.2777777777777778,0,0.0
276,1298,12,0.2021947873799726,0.022222222222222223,0,0.0
281,5237,26,0.09596889707386945,0.0055248618784530384,0,0.0
282,1917,31,0.16635630043451272,0.055865921787709494,0,0.0
285,3096,32,0.260816371927483,0.036036036036036036,0,0.0
290,2103,10,0.0,0.004784688995215311,0,0.0
292,138,7,0.0,0.5,0,0.0
293,3083,31,0.04987902475339662,0.09045226130653267,0,0.0
294,2014,30,0.17724867724867724,0.08403361344537816,0,0.2
307,1858,29,0.09000191901746306,0.05181347150259067,0,0.0
315,265,16,0.0,0.0,0,0.0
321,6146,38,0.16929317108850325,0.03411131059245961,0,0.0
330,319,11,0.1654320987654321,0.0,0,0.0
332,2339,27,0.0896921017402945,0.03614457831325301,0,0.0
340,868,34,0.332569683085147,0.010309278350515464,0,0.0
349,551,20,0.06203703703703704,0.0,0,0.0
351,523,27,0.04962962962962963,0.22,0,0.2
355,911,33,0.3225925925925926,0.04,0,0.2
366,2448,19,1.0,0.1044776119402985,0,0.0
370,134,20,0.0,0.14285714285714285,1,0.2
371,4118,15,0.1411783775022287,0.0175054704595186,0,0.2
373,1106,25,0.20508111417202327,0.0743801652892562,0,0.0
376,599,33,0.13293650793650794,0.16071428571428573,0,0.4
382,1706,22,0.14963707426018982,0.07537688442211055,0,0.0
384,1136,11,0.042784163473818644,0.1724137931034483,0,0.0
385,2766,17,0.10591689250225836,0.03353658536585366,0,0.0
386,5771,27,0.15884916057926438,0.020761245674740483,0,0.0
387,3524,25,0.05770887166236004,0.5465116279069767,0,0.4
389,1866,15,0.09000191901746306,0.0,0,0.0
395,924,34,0.12725546058879392,0.038461538461538464,0,0.0
398,3068,19,0.04834054834054834,0.012987012987012988,0,0.0
399,2927,26,0.18565828602324955,0.01824817518248175,0,0.0
400,1404,36,0.0,0.0782608695652174,0,0.6
401,668,30,0.04068002428658166,0.06557377049180328,0,0.2
405,1787,24,0.0,0.0,0,0.2
407,1264,19,0.05242566510172144,0.007042253521126761,0,0.0
411,165,10,0.0,0.0,0,0.0
413,866,25,0.02989736724676484,0.20481927710843373,0,0.0
414,1135,36,0.0,0.175,0,0.4
438,2827,25,0.16666666666666666,0.0037313432835820895,0,0.4
443,4412,31,0.22842088950875564,0.05439330543933055,0,0.0
444,4,35,,,0,0.0
448,1410,33,0.09847148736037624,0.015873015873015872,0,0.0
452,4660,19,0.08541331186258723,0.043478260869565216,0,0.0
453,1387,21,0.05355715427657874,0.04316546762589928,0,0.0
456,810,32,0.0775462962962963,0.125,0,0.2
457,1739,34,0.0,0.03636363636363636,0,0.0
459,1815,33,0.2213528082072683,0.08450704225352113,0,0.2
462,831,25,0.0,0.10843373493975904,0,0.0
463,2632,33,0.15039281705948374,0.007575757575757576,0,0.2
470,1752,30,0.10883690708252111,0.0,0,0.0
477,956,32,0.48028673835125446,0.053763440860215055,0,0.0
492,885,23,0.295001295001295,0.03496503496503497,0,0.0
493,1267,24,0.13786008230452673,0.043209876543209874,0,0.0
497,2137,23,0.15115623237450648,0.1065989847715736,0,0.0
498,2688,6,0.0333084762614964,0.020134228187919462,0,0.0
502,2362,37,0.12469756188349154,0.02512562814070352,0,0.0
503,276,23,0.47720797720797725,0.038461538461538464,0,0.0
510,3053,27,0.20489296636085627,0.13761467889908258,0,0.0
518,4655,11,0.05098934550989345,0.0821917808219178,0,0.0
522,3601,25,0.25466277733580833,0.007159904534606206,0,0.0
528,5586,12,0.07237654320987655,0.03333333333333333,0,0.0
529,904,30,0.14596949891067537,0.2647058823529412,0,0.2
